"","title","firstname","middlename","lastname","name_suffix","nickname","party","state","district","in_office","gender","phone","fax","website","webform","congress_office","bioguide_id","votesmart_id","fec_id","govtrack_id","crp_id","twitter_id","congresspedia_url","youtube_url","facebook_id","official_rss","senate_class","birthdate","oc_email"
"357","Rep","H.","Morgan","Griffith","","","R","VA","9",1,"M","202-225-3861","202-225-0076","https://morgangriffith.house.gov","","2202 Rayburn House Office Building","G000568",5148,"H0VA09055",412485,"N00032029","RepMGriffith","http://www.opencongress.org/wiki/Morgan_Griffith","http://youtube.com/RepMorganGriffith","RepMorganGriffith",NA,"","1958-03-15","Rep.Morgangriffith@opencongress.org"
"378","Sen","Orrin","G.","Hatch","","","R","UT","Senior Seat",1,"M","202-224-5251","202-224-6331","https://www.hatch.senate.gov","http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin","104 Hart Senate Office Building","H000338",53352,"S6UT00063",300052,"N00009869","SenOrrinHatch","http://www.opencongress.org/wiki/Orrin_Hatch","http://youtube.com/SenatorOrrinHatch","senatororrinhatch",NA,"I","1934-03-22","Sen.Hatch@opencongress.org"
"395","Rep","Jeb","","Hensarling","","","R","TX","5",1,"M","202-225-3484","202-226-4888","https://hensarling.house.gov","","2228 Rayburn House Office Building","H001036",49827,"H2TX05121",400175,"N00024922","RepHensarling","http://www.opencongress.org/wiki/Jeb_Hensarling","http://youtube.com/repjebhensarling","RepHensarling",NA,"","1957-05-29","Rep.Hensarling@opencongress.org"
"400","Sen","Dean","","Heller","","","R","NV","Senior Seat",1,"M","202-224-6244","202-228-6753","https://www.heller.senate.gov/public","http://www.heller.senate.gov/public/index.cfm/contact-form","324 Hart Senate Office Building","H001041",2291,"H6NV02164",412218,"N00027522","SenDeanHeller","http://www.opencongress.org/wiki/Dean_Heller","http://youtube.com/SenDeanHeller","SenDeanHeller",NA,"I","1960-05-10","Sen.Heller@opencongress.org"
"404","Rep","Gregg","","Harper","","","R","MS","3",1,"M","202-225-5031","202-225-5797","https://harper.house.gov","","2227 Rayburn House Office Building","H001045",101985,"H8MS03067",412280,"N00029632","GreggHarper","http://www.opencongress.org/wiki/Gregg_Harper","http://youtube.com/congressmanharper","GreggHarper",NA,"","1956-06-01","Rep.Harper@opencongress.org"
"407","Rep","Duncan","D.","Hunter","","","R","CA","50",1,"M","202-225-5672","202-225-0235","https://hunter.house.gov","","2429 Rayburn House Office Building","H001048",104308,"H8CA52052",412283,"N00029258","Rep_Hunter","http://www.opencongress.org/wiki/Duncan_Hunter","http://youtube.com/CongressmanHunter","DuncanHunter",NA,"","1976-12-07","Rep.Hunter@opencongress.org"
"411","Rep","Andy","","Harris","","","R","MD","1",1,"M","202-225-5311","202-225-0254","https://harris.house.gov","","1533 Longworth House Office Building","H001052",19157,"H8MD01094",412434,"N00029147","RepAndyHarrisMD","http://www.opencongress.org/wiki/Andy_Harris","http://youtube.com/RepAndyHarris","AndyHarrisMD",NA,"","1957-01-25","Rep.Harris@opencongress.org"
"412","Rep","Vicky","","Hartzler","","","R","MO","4",1,"F","202-225-2876","202-225-0148","https://hartzler.house.gov","","2235 Rayburn House Office Building","H001053",8783,"H0MO04086",412444,"N00031005","RepHartzler","http://www.opencongress.org/wiki/Vicky_Hartzler","http://youtube.com/repvickyhartzler","Congresswoman.Hartzler",NA,"","1960-10-13","Rep.Hartzler@opencongress.org"
"415","Rep","Jaime","","Herrera Beutler","","","R","WA","3",1,"F","202-225-3536","202-225-3478","https://herrerabeutler.house.gov","","1107 Longworth House Office Building","H001056",101907,"H0WA03187",412486,"N00031559","HerreraBeutler","http://www.opencongress.org/wiki/Jaime_Herrera","http://youtube.com/RepHerreraBeutler","herrerabeutler",NA,"","1978-11-03","Rep.Herrerabeutler@opencongress.org"
"417","Rep","Bill","","Huizenga","","","R","MI","2",1,"M","202-225-4401","202-226-0779","https://huizenga.house.gov","","2232 Rayburn House Office Building","H001058",38351,"H0MI02094",412437,"N00030673","RepHuizenga","http://www.opencongress.org/wiki/Bill_Huizenga","http://youtube.com/RepHuizenga","RepHuizenga",NA,"","1969-01-31","Rep.Huizenga@opencongress.org"
"418","Rep","Randy","","Hultgren","","","R","IL","14",1,"M","202-225-2976","202-225-0697","https://hultgren.house.gov","","2455 Rayburn House Office Building","H001059",18199,"H0IL14080",412422,"N00031104","RepHultgren","http://www.opencongress.org/wiki/Randy_Hultgren","http://youtube.com/rephultgren","RepHultgren",NA,"","1966-03-01","Rep.Hultgren@opencongress.org"
"420","Sen","John","","Hoeven","","","R","ND","Senior Seat",1,"M","202-224-2551","202-224-7999","https://www.hoeven.senate.gov","http://www.hoeven.senate.gov/public/index.cfm/email-the-senator","338 Russell Senate Office Building","H001061",41788,"S0ND00093",412494,"N00031688","SenJohnHoeven","http://www.opencongress.org/wiki/John_Hoeven","http://youtube.com/senatorjohnhoevennd","SenatorJohnHoeven",NA,"III","1957-03-13","Sen.Hoeven@opencongress.org"
"424","Rep","George","","Holding","","","R","NC","2",1,"M","202-225-3032","919-782-4490","https://holding.house.gov","","1110 Longworth House Office Building","H001065",136462,"H2NC13110",412553,"N00033399","RepHolding","","http://youtube.com/repholding","CongressmanGeorgeHolding",NA,"","1968-04-17","Rep.Holding@opencongress.org"
"425","Rep","Richard","","Hudson","","","R","NC","8",1,"M","202-225-3715","704-782-1004","https://hudson.house.gov","","429 Cannon House Office Building","H001067",136448,"H2NC08185",412550,"N00033630","RepRichHudson","","http://youtube.com/RepRichHudson","RepRichHudson",NA,"","1971-11-04","Rep.Hudson@opencongress.org"
"437","Sen","James","M.","Inhofe","","Jim","R","OK","Senior Seat",1,"M","202-224-4721","202-228-0380","https://www.inhofe.senate.gov","https://www.inhofe.senate.gov/contact","205 Russell Senate Office Building","I000024",27027,"S4OK00083",300055,"N00005582","InhofePress","http://www.opencongress.org/wiki/James_Inhofe","http://youtube.com/jiminhofepressoffice","jiminhofe",NA,"II","1934-11-17","Sen.Inhofe@opencongress.org"
"440","Sen","John","H.","Isakson","","Johnny","R","GA","Senior Seat",1,"M","202-224-3643","202-228-0724","https://www.isakson.senate.gov","https://www.isakson.senate.gov/public/index.cfm/email-me","131 Russell Senate Office Building","I000055",1721,"S6GA00119",400194,"N00002593","SenatorIsakson","http://www.opencongress.org/wiki/John_Isakson","http://youtube.com/SenatorIsakson","",NA,"III","1944-12-28","Sen.Isakson@opencongress.org"
"441","Rep","Darrell","E.","Issa","","","R","CA","49",1,"M","202-225-3906","202-225-3303","https://issa.house.gov","","2269 Rayburn House Office Building","I000056",16553,"H0CA48024",400196,"N00007017","DarrellIssa","http://www.opencongress.org/wiki/Darrell_Issa","http://youtube.com/repdarrellissa","darrellissa",NA,"","1953-11-01","Rep.Issa@opencongress.org"
"446","Rep","Sam","Robert","Johnson","","","R","TX","3",1,"M","202-225-4201","202-225-1485","https://samjohnson.house.gov","","2304 Rayburn House Office Building","J000174",27079,"H2TX03118",400206,"N00008028","SamsPressShop","http://www.opencongress.org/wiki/Samuel_Johnson","http://youtube.com/RepSamJohnson","RepSamJohnson",NA,"","1930-10-11","Rep.Samjohnson@opencongress.org"
"448","Rep","Walter","B.","Jones","Jr.","","R","NC","3",1,"M","202-225-3415","202-225-3286","https://jones.house.gov","","2333 Rayburn House Office Building","J000255",21785,"H2NC01081",400209,"N00002299","RepWalterJones","http://www.opencongress.org/wiki/Walter_Beaman_Jones","http://youtube.com/RepWalterJones","15083070102",NA,"","1943-02-10","Rep.Jones@opencongress.org"
"454","Rep","Jim","","Jordan","","","R","OH","4",1,"M","202-225-2676","202-226-0577","https://jordan.house.gov","","2056 Rayburn House Office Building","J000289",8158,"H6OH04082",412226,"N00027894","Jim_Jordan","http://www.opencongress.org/wiki/James_Jordan","http://youtube.com/RepJimJordan","repjimjordan",NA,"","1964-02-17","Rep.Jordan@opencongress.org"
"455","Rep","Lynn","","Jenkins","","","R","KS","2",1,"F","202-225-6601","202-225-7986","https://lynnjenkins.house.gov","","1526 Longworth House Office Building","J000290",18594,"H8KS02090",412284,"N00029077","RepLynnJenkins","http://www.opencongress.org/wiki/Lynn_Jenkins","http://youtube.com/RepLynnJenkins","replynnjenkins",NA,"","1963-06-10","Rep.Lynnjenkins@opencongress.org"
"457","Rep","Bill","","Johnson","","","R","OH","6",1,"M","202-225-5705","202-225-5907","https://billjohnson.house.gov","","1710 Longworth House Office Building","J000292",120649,"H0OH06189",412460,"N00032088","RepBillJohnson","http://www.opencongress.org/wiki/Bill_Johnson","http://youtube.com/RepBillJohnson","RepBillJohnson",NA,"","1954-11-10","Rep.Billjohnson@opencongress.org"
"458","Sen","Ron","","Johnson","","","R","WI","Senior Seat",1,"M","202-224-5323","920-230-7262","https://www.ronjohnson.senate.gov","https://www.ronjohnson.senate.gov/public/index.cfm/email-the-senator","328 Hart Senate Office Building","J000293",126217,"S0WI00197",412496,"N00032546","SenRonJohnson","http://www.opencongress.org/wiki/Ron_Johnson","http://youtube.com/SenatorRonJohnson","senronjohnson",NA,"III","1955-04-08","Sen.Ronjohnson@opencongress.org"
"460","Rep","David","P.","Joyce","","","R","OH","14",1,"M","202-225-5731","202-225-3307","https://joyce.house.gov","","1124 Longworth House Office Building","J000295",143052,"H2OH14064",412566,"N00035007","RepDaveJoyce","","http://youtube.com/repdavejoyce","RepDaveJoyce",NA,"","1957-03-17","Rep.Joyce@opencongress.org"
"472","Rep","Peter","T.","King","","Pete","R","NY","2",1,"M","202-225-7896","202-226-2279","https://peteking.house.gov","","339 Cannon House Office Building","K000210",26968,"H2NY03089",400219,"N00001193","RepPeteKing","http://www.opencongress.org/wiki/Peter_King","http://youtube.com/RepPeterKing","",NA,"","1944-04-05","Rep.Peteking@opencongress.org"
"480","Rep","Steve","A.","King","","","R","IA","4",1,"M","202-225-4426","202-225-3193","https://steveking.house.gov","","2210 Rayburn House Office Building","K000362",10853,"H2IA05072",400220,"N00025237","SteveKingIA","http://www.opencongress.org/wiki/Steve_King","http://youtube.com/stevekingia","stevekingia",NA,"","1949-05-28","Rep.Steveking@opencongress.org"
"494","Rep","Mike","","Kelly","","","R","PA","3",1,"M","202-225-5406","202-225-3103","https://kelly.house.gov","","1707 Longworth House Office Building","K000376",119463,"H0PA03271",412465,"N00031647","MikeKellyPA","http://www.opencongress.org/wiki/Mike_Kelly","http://youtube.com/repmikekelly","191056827594903",NA,"","1948-05-10","Rep.Kelly@opencongress.org"
"495","Rep","Adam","","Kinzinger","","","R","IL","16",1,"M","202-225-3635","202-225-3521","https://kinzinger.house.gov","","2245 Rayburn House Office Building","K000378",116559,"H0IL11052",412421,"N00030667","RepKinzinger","http://www.opencongress.org/wiki/Adam_Kinzinger","http://youtube.com/RepAdamKinzinger","RepKinzinger",NA,"","1978-02-27","Rep.Kinzinger@opencongress.org"
"526","Rep","Frank","D.","Lucas","","","R","OK","3",1,"M","202-225-5565","202-225-8698","https://lucas.house.gov","","2405 Rayburn House Office Building","L000491",27032,"H4OK06056",400247,"N00005559","RepFrankLucas","http://www.opencongress.org/wiki/Frank_Lucas","http://youtube.com/RepFrankLucas","RepFrankLucas",NA,"","1960-01-06","Rep.Lucas@opencongress.org"
"533","Rep","Frank","A.","LoBiondo","","","R","NJ","2",1,"M","202-225-6572","202-225-3318","https://lobiondo.house.gov","","2427 Rayburn House Office Building","L000554",21890,"H2NJ02037",400244,"N00000851","RepLoBiondo","http://www.opencongress.org/wiki/Frank_LoBiondo","http://youtube.com/USRepFrankLoBiondo","FrankLoBiondo",NA,"","1946-05-12","Rep.Lobiondo@opencongress.org"
"539","Rep","Doug","","Lamborn","","","R","CO","5",1,"M","202-225-4422","202-226-2638","https://lamborn.house.gov","","2402 Rayburn House Office Building","L000564",2698,"H6CO05159",412191,"N00028133","RepDLamborn","http://www.opencongress.org/wiki/Douglas_Lamborn","http://youtube.com/CongressmanLamborn","CongressmanDougLamborn",NA,"","1954-05-24","Rep.Lamborn@opencongress.org"
"541","Rep","Robert","E.","Latta","","","R","OH","5",1,"M","202-225-6405","202-225-1985","https://latta.house.gov","","2448 Rayburn House Office Building","L000566",9926,"H8OH05036",412256,"N00012233","BobLatta","http://www.opencongress.org/wiki/Robert_Latta","http://youtube.com/CongressmanBobLatta","boblatta",NA,"","1956-04-18","Rep.Latta@opencongress.org"
"542","Rep","Leonard","","Lance","","","R","NJ","7",1,"M","202-225-5361","202-225-9460","https://lance.house.gov","","2352 Rayburn House Office Building","L000567",4443,"H6NJ12136",412290,"N00000898","RepLanceNJ7","http://www.opencongress.org/wiki/Leonard_Lance","http://youtube.com/CongressmanLance","CongressmanLance",NA,"","1952-06-25","Rep.Lance@opencongress.org"
"544","Rep","Blaine","","Luetkemeyer","","","R","MO","3",1,"M","202-225-2956","202-225-5712","https://luetkemeyer.house.gov","","2230 Rayburn House Office Building","L000569",20400,"H8MO09153",412292,"N00030026","RepBlainePress","http://www.opencongress.org/wiki/Blaine_Luetkemeyer","http://youtube.com/BLuetkemeyer","BlaineLuetkemeyer",NA,"","1952-05-07","Rep.Luetkemeyer@opencongress.org"
"548","Rep","Raúl","R.","Labrador","","","R","ID","1",1,"M","202-225-6611","202-225-3029","https://labrador.house.gov","","1523 Longworth House Office Building","L000573",57391,"H0ID01253",412419,"N00031377","Raul_Labrador","http://www.opencongress.org/wiki/Raul_Labrador","http://youtube.com/RepLabrador","raul.r.labrador",NA,"","1967-12-08","Rep.Labrador@opencongress.org"
"550","Sen","James","","Lankford","","","R","OK","Junior Seat",1,"M","202-224-5754","","https://www.lankford.senate.gov","http://www.lankford.senate.gov/contact/email","316 Hart Senate Office Building","L000575",124938,"H0OK05114",412464,"N00031129","SenatorLankford","http://www.opencongress.org/wiki/James_Lankford","http://youtube.com/SenatorLankford","SenatorLankford",NA,"III","1968-03-04","Sen.Lankford@opencongress.org"
"551","Rep","Billy","","Long","","","R","MO","7",1,"M","202-225-6536","202-225-5604","https://long.house.gov","","2454 Rayburn House Office Building","L000576",123401,"H0MO07113",412445,"N00030676","USRepLong","http://www.opencongress.org/wiki/Billy_Long","http://youtube.com/MOdistrict7","Rep.Billy.Long",NA,"","1955-08-11","Rep.Long@opencongress.org"
"552","Sen","Mike","","Lee","","","R","UT","Junior Seat",1,"M","202-224-5444","","https://www.lee.senate.gov/public","https://www.lee.senate.gov/public/index.cfm/contact","361a Russell Senate Office Building","L000577",66395,"S0UT00165",412495,"N00031696","SenMikeLee","http://www.opencongress.org/wiki/Mike_Lee","http://youtube.com/senatormikelee","senatormikelee",NA,"III","1971-06-04","Sen.Lee@opencongress.org"
"553","Rep","Doug","","LaMalfa","","","R","CA","1",1,"M","202-225-3076","530-534-7800","https://lamalfa.house.gov","","322 Cannon House Office Building","L000578",29713,"H2CA02142",412510,"N00033987","RepLaMalfa","","http://youtube.com/RepLaMalfa","RepLaMalfa",NA,"","1960-07-02","Rep.Lamalfa@opencongress.org"
"565","Sen","John","S.","McCain","","","R","AZ","Senior Seat",1,"M","202-224-2235","202-228-2862","https://www.mccain.senate.gov","https://www.mccain.senate.gov/public/index.cfm/contact-form","218 Russell Senate Office Building","M000303",53270,"S6AZ00019",300071,"N00006424","SenJohnMcCain","http://www.opencongress.org/wiki/John_McCain","http://youtube.com/SenatorJohnMcCain","johnmccain",NA,"III","1936-08-29","Sen.Mccain@opencongress.org"
"583","Sen","Jerry","","Moran","","","R","KS","Junior Seat",1,"M","202-224-6521","202-228-6966","https://www.moran.senate.gov","https://www.moran.senate.gov/public/index.cfm/e-mail-jerry","521 Dirksen Senate Office Building","M000934",542,"H6KS01096",400284,"N00005282","JerryMoran","http://www.opencongress.org/wiki/Jerry_Moran","http://youtube.com/senatorjerrymoran","jerrymoran",NA,"III","1954-05-29","Sen.Moran@opencongress.org"
"599","Rep","Tim","","Murphy","","","R","PA","18",1,"M","202-225-2301","202-225-1844","https://murphy.house.gov","","2332 Rayburn House Office Building","M001151",9794,"H2PA18143",400285,"N00024992","RepTimMurphy","http://www.opencongress.org/wiki/Tim_Murphy","http://youtube.com/TimMurphyPA18","reptimmurphy",NA,"","1952-09-11","Rep.Murphy@opencongress.org"
"601","Sen","Lisa","A.","Murkowski","","","R","AK","Senior Seat",1,"F","202-224-6665","202-224-5301","https://www.murkowski.senate.gov","https://www.murkowski.senate.gov/public/index.cfm/contact","522 Hart Senate Office Building","M001153",15841,"S4AK00099",300075,"N00026050","LisaMurkowski","http://www.opencongress.org/wiki/Lisa_Murkowski","http://youtube.com/senatormurkowski","SenLisaMurkowski",NA,"III","1957-05-22","Sen.Murkowski@opencongress.org"
"604","Rep","Patrick","T.","McHenry","","","R","NC","10",1,"M","202-225-2576","202-225-0316","https://mchenry.house.gov","","2334 Rayburn House Office Building","M001156",21031,"H4NC10047",400644,"N00026627","PatrickMcHenry","http://www.opencongress.org/wiki/Patrick_McHenry","http://youtube.com/CongressmanMcHenry","CongressmanMcHenry",NA,"","1975-10-22","Rep.Mchenry@opencongress.org"
"605","Rep","Michael","T.","McCaul","","","R","TX","10",1,"M","202-225-2401","202-225-5955","https://mccaul.house.gov","","2001 Rayburn House Office Building","M001157",49210,"H4TX10093",400654,"N00026460","RepMcCaul","http://www.opencongress.org/wiki/Michael_McCaul","http://youtube.com/MichaelTMcCaul","michaeltmccaul",NA,"","1962-01-14","Rep.Mccaul@opencongress.org"
"606","Rep","Kenny","Ewell","Marchant","","","R","TX","24",1,"M","202-225-6605","202-225-0074","https://marchant.house.gov","","2369 Rayburn House Office Building","M001158",5549,"H4TX24094",400656,"N00026710","RepKenMarchant","http://www.opencongress.org/wiki/Kenny_Marchant","http://youtube.com/RepKennyMarchant","RepKennyMarchant",NA,"","1951-02-23","Rep.Marchant@opencongress.org"
"607","Rep","Cathy","","McMorris Rodgers","","","R","WA","5",1,"F","202-225-2006","202-225-3392","https://mcmorris.house.gov","","1314 Longworth House Office Building","M001159",3217,"H4WA05077",400659,"N00026314","CathyMcMorris","http://www.opencongress.org/wiki/Cathy_McMorris-Rodgers","http://youtube.com/mcmorrisrodgers","mcmorrisrodgers",NA,"","1969-05-22","Rep.Mcmorris@opencongress.org"
"613","Rep","Kevin","","McCarthy","","","R","CA","23",1,"M","202-225-2915","202-225-2908","https://kevinmccarthy.house.gov","","2421 Rayburn House Office Building","M001165",28918,"H6CA22125",412190,"N00028152","GOPLeader","http://www.opencongress.org/wiki/Kevin_McCarthy","http://youtube.com/repkevinmccarthy","CongressmanKevinMcCarthy",NA,"","1965-01-26","Rep.Kevinmccarthy@opencongress.org"
"625","Rep","Tom","","McClintock","","","R","CA","4",1,"M","202-225-2511","202-225-5444","https://mcclintock.house.gov","","2312 Rayburn House Office Building","M001177",9715,"H8CA04152",412295,"N00006863","RepMcClintock","http://www.opencongress.org/wiki/Tom_McClintock","http://youtube.com/McClintockCA04","81125319109",NA,"","1956-07-10","Rep.Mcclintock@opencongress.org"
"627","Rep","Tom","","Marino","","","R","PA","10",1,"M","202-225-3731","202-225-9594","https://marino.house.gov","","2242 Rayburn House Office Building","M001179",119478,"H0PA10078",412468,"N00031777","RepTomMarino","http://www.opencongress.org/wiki/Tom_Marino","http://youtube.com/RepMarino","CongressmanMarino",NA,"","1952-08-15","Rep.Marino@opencongress.org"
"628","Rep","David","B.","McKinley","","","R","WV","1",1,"M","202-225-4172","202-225-7564","https://mckinley.house.gov","","2239 Rayburn House Office Building","M001180",117396,"H0WV01072",412487,"N00031681","RepMcKinley","http://www.opencongress.org/wiki/David_McKinley","http://youtube.com/RepDavidMcKinley","RepMcKinley",NA,"","1947-03-28","Rep.Mckinley@opencongress.org"
"629","Rep","Patrick","","Meehan","","","R","PA","7",1,"M","202-225-2011","202-226-0280","https://meehan.house.gov","","2305 Rayburn House Office Building","M001181",119474,"H0PA07082",412466,"N00031134","RepMeehan","http://www.opencongress.org/wiki/Patrick_Meehan","http://youtube.com/repmeehan","CongressmanPatrickMeehan",NA,"","1955-10-20","Rep.Meehan@opencongress.org"
"630","Rep","Mick","","Mulvaney","","","R","SC","5",0,"M","202-225-5501","202-225-0464","https://mulvaney.house.gov","","2350 Rayburn House Office Building","M001182",60348,"H0SC05031",412474,"N00031412","RepMickMulvaney","http://www.opencongress.org/wiki/Mick_Mulvaney","http://youtube.com/RepMickMulvaney","188649667827713",NA,"","1967-07-21",""
"632","Rep","Thomas","","Massie","","","R","KY","4",1,"M","202-225-3465","202-225-0003","https://massie.house.gov","","2453 Rayburn House Office Building","M001184",132068,"H2KY04121",412503,"N00034041","RepThomasMassie","","http://youtube.com/repthomasmassie","RepThomasMassie",NA,"","1971-01-13","Rep.Massie@opencongress.org"
"634","Rep","Mark","","Meadows","","","R","NC","11",1,"M","202-225-6401","202-226-6422","https://meadows.house.gov","","1024 Longworth House Office Building","M001187",136459,"H2NC11080",412552,"N00033631","RepMarkMeadows","","http://youtube.com/RepMarkMeadows","Repmarkmeadows",NA,"","1959-07-28","Rep.Meadows@opencongress.org"
"636","Rep","Luke","","Messer","","","R","IN","6",1,"M","202-225-3021","765-747-5586","https://messer.house.gov","","1230 Longworth House Office Building","M001189",33997,"H0IN02125",412540,"N00012546","RepLukeMesser","","http://youtube.com/RepLukeMesser","RepLukeMesser",NA,"","1969-02-27","Rep.Messer@opencongress.org"
"644","Rep","Brian","","Mast","","","R","FL","18",1,"M","202-225-3026","","https://mast.house.gov","","2182 Rayburn House Office Building","M001199",166245,"H6FL18097",412698,"N00037269","repbrianmast","","http://youtube.com/repbrianmast","repbrianmast",NA,"","1980-07-10","Rep.Mast@opencongress.org"
"656","Rep","Devin","G.","Nunes","","","R","CA","22",1,"M","202-225-2523","202-225-3404","https://nunes.house.gov","","1013 Longworth House Office Building","N000181",16725,"H8CA20059",400297,"N00007248","RepDevinNunes","http://www.opencongress.org/wiki/Devin_Nunes","http://youtube.com/RepDevinNunes","",NA,"","1973-10-01","Rep.Nunes@opencongress.org"
"659","Rep","Kristi","L.","Noem","","","R","SD","0",1,"F","202-225-2801","202-225-5823","https://noem.house.gov","","2457 Rayburn House Office Building","N000184",58189,"H0SD00054",412475,"N00032022","RepKristiNoem","http://www.opencongress.org/wiki/Kristi_Noem","http://youtube.com/RepKristiNoem","",NA,"","1971-11-30","Rep.Noem@opencongress.org"
"685","Sen","Robert","J.","Portman","","Rob","R","OH","Junior Seat",1,"M","202-224-3353","","https://www.portman.senate.gov","https://www.portman.senate.gov/public/index.cfm/contact?p=contact-form","448 Russell Senate Office Building","P000449",27008,"S0OH00133",400325,"N00003682","SenRobPortman","http://www.opencongress.org/wiki/Rand_Paul","http://youtube.com/SenRobPortman","senrobportman",NA,"III","1955-12-19","Sen.Portman@opencongress.org"
"692","Rep","Stevan","E.","Pearce","","Steve","R","NM","2",1,"M","202-225-2365","","https://pearce.house.gov","","2432 Rayburn House Office Building","P000588",10655,"H2NM02126",400313,"N00012672","RepStevePearce","http://www.opencongress.org/wiki/Stevan_Pearce","http://youtube.com/NMStevePearce","RepStevePearce",NA,"","1947-08-24","Rep.Pearce@opencongress.org"
"695","Rep","Tom","","Price","","","R","GA","6",0,"M","202-225-4501","202-225-4656","https://tomprice.house.gov","","1211 Longworth House Office Building","P000591",11853,"H4GA06087",400626,"N00026160","RepTomPrice","http://www.opencongress.org/wiki/Thomas_Price","http://youtube.com/RepTomPrice","172032960420",NA,"","1954-10-08",""
"696","Rep","Ted","","Poe","","","R","TX","2",1,"M","202-225-6565","202-225-5547","https://poe.house.gov","","2132 Rayburn House Office Building","P000592",49198,"H4TX02108",400652,"N00026457","JudgeTedPoe","http://www.opencongress.org/wiki/Ted_Poe","http://youtube.com/CongressmanTedPoe","106631626049851",NA,"","1948-09-10","Rep.Poe@opencongress.org"
"698","Rep","Erik","","Paulsen","","","R","MN","3",1,"M","202-225-2871","202-225-6351","https://paulsen.house.gov","","127 Cannon House Office Building","P000594",3833,"H8MN03077",412303,"N00029391","RepErikPaulsen","http://www.opencongress.org/wiki/Erik_Paulsen","http://youtube.com/reperikpaulsen","CongressmanErikPaulsen",NA,"","1965-05-14","Rep.Paulsen@opencongress.org"
"703","Rep","Bill","","Posey","","","R","FL","8",1,"M","202-225-3671","202-225-3516","https://posey.house.gov","","2150 Rayburn House Office Building","P000599",24280,"H8FL15107",412309,"N00029662","CongBillPosey","http://www.opencongress.org/wiki/Bill_Posey","http://youtube.com/CongressmanPosey","bill.posey15",NA,"","1947-12-18","Rep.Posey@opencongress.org"
"705","Rep","Steven","M.","Palazzo","","","R","MS","4",1,"M","202-225-5772","202-225-7074","https://palazzo.house.gov","","2349 Rayburn House Office Building","P000601",69521,"H0MS04120",412443,"N00031958","CongPalazzo","http://www.opencongress.org/wiki/Steven_Palazzo","http://youtube.com/CongressmanPalazzo","stevenpalazzo",NA,"","1970-02-21","Rep.Palazzo@opencongress.org"
"706","Rep","Mike","","Pompeo","","","R","KS","4",0,"M","202-225-6216","","http://pompeo.house.gov","","2452 Rayburn House Office Building","P000602",125023,"H0KS04051",412431,"N00030744","RepMikePompeo","http://www.opencongress.org/wiki/Mike_Pompeo","http://youtube.com/congressmanpompeo","101965369880683",NA,"","1963-12-30",""
"709","Rep","Scott","","Perry","","","R","PA","4",1,"M","202-225-5836","202-226-1000","https://perry.house.gov","","1207 Longworth House Office Building","P000605",59980,"H2PA04135",412569,"N00034120","RepScottPerry","","http://youtube.com/RepScottPerry","repscottperry",NA,"","1962-05-27","Rep.Perry@opencongress.org"
"710","Rep","Robert","","Pittenger","","","R","NC","9",1,"M","202-225-1976","202-225-3389","https://pittenger.house.gov","","224 Cannon House Office Building","P000606",41272,"H2NC09134",412551,"N00034416","RepPittenger","","http://youtube.com/CongressmanPittenger","congressmanpittenger",NA,"","1948-08-15","Rep.Pittenger@opencongress.org"
"728","Sen","Pat","","Roberts","","","R","KS","Senior Seat",1,"M","202-224-4774","202-224-3514","https://www.roberts.senate.gov","https://www.roberts.senate.gov/public/?p=EmailPat","109 Hart Senate Office Building","R000307",26866,"S6KS00080",300083,"N00005285","SenPatRoberts","http://www.opencongress.org/wiki/Pat_Roberts","http://youtube.com/SenPatRoberts","SenPatRoberts",NA,"II","1936-04-20","Sen.Roberts@opencongress.org"
"730","Rep","Harold","","Rogers","","Hal","R","KY","5",1,"M","202-225-4601","202-225-0940","https://halrogers.house.gov","","2406 Rayburn House Office Building","R000395",26875,"H0KY05015",400340,"N00003473","RepHalRogers","http://www.opencongress.org/wiki/Harold_Rogers","http://youtube.com/RepHalRogers","CongressmanHalRogers",NA,"","1937-12-31","Rep.Halrogers@opencongress.org"
"731","Rep","Dana","T.","Rohrabacher","","","R","CA","48",1,"M","202-225-2415","202-225-0145","https://rohrabacher.house.gov","","2300 Rayburn House Office Building","R000409",26763,"H8CA42061",400343,"N00007151","reprohrabacher","http://www.opencongress.org/wiki/Dana_Rohrabacher","http://youtube.com/RepDanaRohrabacher","RepRohrabacher",NA,"","1947-06-21","Rep.Rohrabacher@opencongress.org"
"732","Rep","Ileana","","Ros-Lehtinen","","","R","FL","27",1,"F","202-225-3931","202-225-5620","https://ros-lehtinen.house.gov","","2206 Rayburn House Office Building","R000435",26815,"H0FL18025",400344,"N00002858","RosLehtinen","http://www.opencongress.org/wiki/Ileana_Ros-Lehtinen","http://youtube.com/IleanaRosLehtinen","iroslehtinen",NA,"","1952-07-15","Rep.Ros-lehtinen@opencongress.org"
"735","Rep","Edward","R.","Royce","","Ed","R","CA","39",1,"M","202-225-4111","202-226-0335","https://royce.house.gov","","2310 Rayburn House Office Building","R000487",26772,"H6CA39020",400348,"N00008264","RepEdRoyce","http://www.opencongress.org/wiki/Edward_Royce","http://youtube.com/RepEdRoyce","EdRoyce",NA,"","1951-10-12","Rep.Royce@opencongress.org"
